12 16 28 #UTIL: 20250764
12 16 43 #UTIL: 20377837
17 28 43 #UTIL: 20460670
1 16 17 28 #UTIL: 20091846
1 16 28 43 #UTIL: 20268756
8 16 17 43 #UTIL: 20006562
12 15 16 43 #UTIL: 20127128
12 16 17 18 #UTIL: 20057297
12 16 17 21 #UTIL: 22736562
12 16 17 28 #UTIL: 24590862
12 16 17 31 #UTIL: 20589957
12 16 17 43 #UTIL: 25077018
12 16 18 28 #UTIL: 21646250
12 16 18 43 #UTIL: 21904514
12 16 21 28 #UTIL: 22735781
12 16 21 43 #UTIL: 23614746
12 16 25 28 #UTIL: 20509421
12 16 25 43 #UTIL: 20586514
12 16 28 31 #UTIL: 22090110
12 16 28 43 #UTIL: 24926680
12 16 31 43 #UTIL: 22127361
12 17 28 43 #UTIL: 21707426
12 21 28 43 #UTIL: 20007986
15 16 17 21 #UTIL: 20932542
15 16 17 28 #UTIL: 22152254
15 16 17 43 #UTIL: 22657425
15 16 18 43 #UTIL: 20097113
15 16 21 28 #UTIL: 20393158
15 16 21 43 #UTIL: 21232830
15 16 28 31 #UTIL: 20188446
15 16 28 43 #UTIL: 22091294
15 16 31 43 #UTIL: 20305010
17 18 28 43 #UTIL: 21668130
17 21 28 43 #UTIL: 22265204
17 21 31 43 #UTIL: 20069801
17 25 28 43 #UTIL: 20429463
17 28 31 43 #UTIL: 21876273
21 28 31 43 #UTIL: 20212689
12 16 18 21 28 #UTIL: 23939218
12 16 18 21 31 #UTIL: 21418615
12 16 18 21 43 #UTIL: 24955922
12 16 18 24 43 #UTIL: 20335986
12 16 18 25 28 #UTIL: 21597105
12 16 18 25 43 #UTIL: 21756041
12 16 18 28 29 #UTIL: 20056664
12 16 18 28 31 #UTIL: 23421225
12 16 18 28 43 #UTIL: 26114112
12 16 18 29 43 #UTIL: 20609910
12 16 18 31 43 #UTIL: 23562007
12 16 18 38 43 #UTIL: 20531546
12 16 21 24 28 #UTIL: 20309107
12 16 21 24 43 #UTIL: 21295813
12 16 21 25 28 #UTIL: 21330822
12 16 21 25 43 #UTIL: 21948732
12 16 21 27 28 #UTIL: 21589901
12 16 21 27 43 #UTIL: 22662711
12 16 21 28 29 #UTIL: 21097537
12 16 21 28 31 #UTIL: 24242958
12 16 21 28 43 #UTIL: 26006162
12 16 21 29 43 #UTIL: 22197772
12 16 21 31 43 #UTIL: 24963017
12 16 21 38 43 #UTIL: 21051340
12 16 21 43 59 #UTIL: 20370542
12 16 24 28 31 #UTIL: 20227594
12 16 24 28 43 #UTIL: 22386010
12 16 24 31 43 #UTIL: 20443164
12 16 25 28 31 #UTIL: 21680806
12 16 25 28 43 #UTIL: 23936757
12 16 25 31 43 #UTIL: 21560666
12 16 27 28 43 #UTIL: 21514097
12 16 28 29 31 #UTIL: 20418667
12 16 28 29 43 #UTIL: 22732690
12 16 28 31 43 #UTIL: 26201549
12 16 28 38 43 #UTIL: 21129417
12 16 28 41 43 #UTIL: 21128875
12 16 28 43 59 #UTIL: 21481375
12 16 29 31 43 #UTIL: 20727489
12 16 31 38 43 #UTIL: 20459084
12 17 18 21 28 #UTIL: 20724425
12 17 18 21 43 #UTIL: 21235664
12 17 18 28 43 #UTIL: 22933596
12 17 21 28 31 #UTIL: 21059461
12 17 21 28 43 #UTIL: 23344788
12 17 21 31 43 #UTIL: 21376271
12 17 25 28 43 #UTIL: 21414538
12 17 28 31 43 #UTIL: 23061923
12 18 21 28 43 #UTIL: 21071679
12 18 28 31 43 #UTIL: 20593654
12 21 28 31 43 #UTIL: 21249528
14 15 16 17 25 #UTIL: 20168346
14 15 16 17 28 #UTIL: 20816716
14 15 16 17 43 #UTIL: 21268451
14 15 16 25 43 #UTIL: 20205857
14 15 16 28 43 #UTIL: 20506779
14 16 17 18 43 #UTIL: 20388035
14 16 17 21 43 #UTIL: 20642975
14 16 17 25 28 #UTIL: 20456754
14 16 17 25 43 #UTIL: 20791999
14 16 17 28 31 #UTIL: 20045268
14 16 17 28 43 #UTIL: 21534811
14 16 17 31 43 #UTIL: 20186837
14 16 25 28 43 #UTIL: 20172718
15 16 17 18 21 #UTIL: 22187645
15 16 17 18 28 #UTIL: 23251757
15 16 17 18 31 #UTIL: 20828618
15 16 17 18 43 #UTIL: 23861496
15 16 17 21 27 #UTIL: 20266197
15 16 17 21 28 #UTIL: 23452736
15 16 17 21 31 #UTIL: 22405398
15 16 17 21 43 #UTIL: 24584745
15 16 17 24 43 #UTIL: 20359922
15 16 17 25 28 #UTIL: 21159771
15 16 17 25 43 #UTIL: 21494713
15 16 17 27 43 #UTIL: 20251635
15 16 17 28 29 #UTIL: 20175375
15 16 17 28 31 #UTIL: 23551596
15 16 17 28 43 #UTIL: 25103136
15 16 17 29 43 #UTIL: 20918068
15 16 17 31 43 #UTIL: 23885774
15 16 18 21 28 #UTIL: 21351149
15 16 18 21 43 #UTIL: 22300234
15 16 18 28 31 #UTIL: 21256637
15 16 18 28 43 #UTIL: 23033542
15 16 18 31 43 #UTIL: 21455672
15 16 21 27 43 #UTIL: 20444527
15 16 21 28 31 #UTIL: 21682488
15 16 21 28 43 #UTIL: 22724816
15 16 21 31 43 #UTIL: 22362349
15 16 25 28 43 #UTIL: 20934837
15 16 28 31 43 #UTIL: 23192992
15 17 18 28 43 #UTIL: 20500109
15 17 21 28 43 #UTIL: 20616306
15 17 28 31 43 #UTIL: 20679987
17 18 21 28 31 #UTIL: 21022207
17 18 21 28 43 #UTIL: 23300612
17 18 21 31 43 #UTIL: 21349111
17 18 25 28 43 #UTIL: 21374562
17 18 28 31 43 #UTIL: 23024018
17 21 25 28 43 #UTIL: 20786777
17 21 27 28 43 #UTIL: 21034601
17 21 28 29 43 #UTIL: 20596342
17 21 28 31 43 #UTIL: 23406141
17 25 28 31 43 #UTIL: 21308505
17 28 29 31 43 #UTIL: 20114157
18 21 28 31 43 #UTIL: 21213956
1 12 15 16 17 28 #UTIL: 20085067
1 12 16 17 18 21 #UTIL: 20172700
1 12 16 17 18 28 #UTIL: 22150629
1 12 16 17 18 43 #UTIL: 22008884
1 12 16 17 21 28 #UTIL: 22078288
1 12 16 17 21 31 #UTIL: 20685524
1 12 16 17 21 43 #UTIL: 22359025
1 12 16 17 25 28 #UTIL: 20154525
1 12 16 17 28 31 #UTIL: 22529842
1 12 16 17 28 43 #UTIL: 23936831
1 12 16 17 31 43 #UTIL: 22369248
1 12 16 18 21 28 #UTIL: 20197344
1 12 16 18 21 43 #UTIL: 20381179
1 12 16 18 28 31 #UTIL: 20448900
1 12 16 18 28 43 #UTIL: 22057261
1 12 16 18 31 43 #UTIL: 20211514
1 12 16 21 28 31 #UTIL: 20603794
1 12 16 21 28 43 #UTIL: 21557921
1 12 16 21 31 43 #UTIL: 20770009
1 12 16 25 28 43 #UTIL: 20056531
1 12 16 28 31 43 #UTIL: 22317348
1 15 16 17 18 28 #UTIL: 20048492
1 15 16 17 21 43 #UTIL: 20073753
1 15 16 17 28 31 #UTIL: 20386929
1 15 16 17 28 43 #UTIL: 21280577
1 15 16 17 31 43 #UTIL: 20276820
1 16 17 18 21 28 #UTIL: 22039387
1 16 17 18 21 31 #UTIL: 20658480
1 16 17 18 21 43 #UTIL: 22329774
1 16 17 18 25 28 #UTIL: 20120714
1 16 17 18 28 31 #UTIL: 22495647
1 16 17 18 28 43 #UTIL: 23899197
1 16 17 18 31 43 #UTIL: 22342344
1 16 17 21 27 43 #UTIL: 20091317
1 16 17 21 28 31 #UTIL: 22402006
1 16 17 21 28 43 #UTIL: 23164901
1 16 17 21 31 43 #UTIL: 22667349
1 16 17 24 28 43 #UTIL: 21119708
1 16 17 25 28 31 #UTIL: 20305901
1 16 17 25 28 43 #UTIL: 21549588
1 16 17 28 29 43 #UTIL: 20582891
1 16 17 28 31 43 #UTIL: 24107961
1 16 17 28 43 59 #UTIL: 20342299
1 16 18 21 28 31 #UTIL: 20570226
1 16 18 21 28 43 #UTIL: 21521387
1 16 18 21 31 43 #UTIL: 20743944
1 16 18 25 28 43 #UTIL: 20024467
1 16 18 28 31 43 #UTIL: 22284404
1 16 21 28 31 43 #UTIL: 21791033
1 16 25 28 31 43 #UTIL: 20132301
8 12 16 17 18 21 #UTIL: 20198781
8 12 16 17 18 24 #UTIL: 20290961
8 12 16 17 18 28 #UTIL: 21616766
8 12 16 17 18 43 #UTIL: 22166939
8 12 16 17 21 24 #UTIL: 21142255
8 12 16 17 21 28 #UTIL: 21279180
8 12 16 17 21 31 #UTIL: 20215969
8 12 16 17 21 43 #UTIL: 22296194
8 12 16 17 24 28 #UTIL: 22484831
8 12 16 17 24 31 #UTIL: 20366185
8 12 16 17 24 43 #UTIL: 23080413
8 12 16 17 25 43 #UTIL: 20167841
8 12 16 17 28 31 #UTIL: 21779723
8 12 16 17 28 43 #UTIL: 23314896
8 12 16 17 31 43 #UTIL: 22032755
8 12 16 18 21 43 #UTIL: 20318404
8 12 16 18 24 28 #UTIL: 20395284
8 12 16 18 24 43 #UTIL: 20846753
8 12 16 18 28 43 #UTIL: 21475439
8 12 16 21 24 28 #UTIL: 20206417
8 12 16 21 24 43 #UTIL: 21113508
8 12 16 21 28 43 #UTIL: 20720609
8 12 16 21 31 43 #UTIL: 20236246
8 12 16 24 28 31 #UTIL: 20606274
8 12 16 24 28 43 #UTIL: 22212127
8 12 16 24 31 43 #UTIL: 20783224
8 12 16 28 31 43 #UTIL: 21550867
8 12 17 24 28 43 #UTIL: 20012896
8 15 16 17 24 43 #UTIL: 20217193
8 15 16 17 28 43 #UTIL: 20171738
8 16 17 18 21 24 #UTIL: 21109339
8 16 17 18 21 28 #UTIL: 21234085
8 16 17 18 21 31 #UTIL: 20186944
8 16 17 18 21 43 #UTIL: 22262939
8 16 17 18 24 28 #UTIL: 22440904
8 16 17 18 24 31 #UTIL: 20338837
8 16 17 18 24 43 #UTIL: 23048403
8 16 17 18 25 43 #UTIL: 20138392
8 16 17 18 28 31 #UTIL: 21742434
8 16 17 18 28 43 #UTIL: 23271426
8 16 17 18 31 43 #UTIL: 22003555
8 16 17 21 24 28 #UTIL: 21975876
8 16 17 21 24 31 #UTIL: 21082570
8 16 17 21 24 43 #UTIL: 23048794
8 16 17 21 27 43 #UTIL: 20027386
8 16 17 21 28 31 #UTIL: 21379289
8 16 17 21 28 43 #UTIL: 22268666
8 16 17 21 31 43 #UTIL: 22089642
8 16 17 24 25 28 #UTIL: 20544260
8 16 17 24 25 43 #UTIL: 20850145
8 16 17 24 28 31 #UTIL: 22578438
8 16 17 24 28 43 #UTIL: 24002221
8 16 17 24 29 43 #UTIL: 20426643
8 16 17 24 31 43 #UTIL: 22873294
8 16 17 25 28 43 #UTIL: 21226018
8 16 17 28 29 43 #UTIL: 20414958
8 16 17 28 31 43 #UTIL: 23285950
8 16 18 21 24 28 #UTIL: 20164143
8 16 18 21 24 43 #UTIL: 21082970
8 16 18 21 28 43 #UTIL: 20679363
8 16 18 21 31 43 #UTIL: 20208586
8 16 18 24 28 31 #UTIL: 20571395
8 16 18 24 28 43 #UTIL: 22171489
8 16 18 24 31 43 #UTIL: 20756321
8 16 18 28 31 43 #UTIL: 21515519
8 16 21 24 28 31 #UTIL: 20344894
8 16 21 24 28 43 #UTIL: 21309838
8 16 21 24 31 43 #UTIL: 20967971
8 16 21 28 31 43 #UTIL: 20763615
8 16 24 25 28 43 #UTIL: 20307432
8 16 24 28 31 43 #UTIL: 22228808
8 17 24 28 31 43 #UTIL: 20048563
12 14 15 16 17 18 #UTIL: 20071666
12 14 15 16 17 21 #UTIL: 20677338
12 14 15 16 17 25 #UTIL: 21164154
12 14 15 16 17 28 #UTIL: 21711563
12 14 15 16 17 43 #UTIL: 22223029
12 14 15 16 18 43 #UTIL: 20285246
12 14 15 16 21 43 #UTIL: 20389620
12 14 15 16 25 28 #UTIL: 20704413
12 14 15 16 25 43 #UTIL: 21072192
12 14 15 16 28 43 #UTIL: 21286030
12 14 15 16 31 43 #UTIL: 20037821
12 14 16 17 18 28 #UTIL: 20907291
12 14 16 17 18 43 #UTIL: 21401548
12 14 16 17 21 28 #UTIL: 20612754
12 14 16 17 21 43 #UTIL: 21527226
12 14 16 17 25 28 #UTIL: 21296973
12 14 16 17 25 43 #UTIL: 21682036
12 14 16 17 28 31 #UTIL: 20947178
12 14 16 17 28 43 #UTIL: 22351501
12 14 16 17 31 43 #UTIL: 21137940
12 14 16 18 28 43 #UTIL: 20686062
12 14 16 21 28 43 #UTIL: 20008392
12 14 16 25 28 43 #UTIL: 20908872
12 14 16 28 31 43 #UTIL: 20637388
12 15 16 17 18 21 #UTIL: 23483039
12 15 16 17 18 25 #UTIL: 20133018
12 15 16 17 18 28 #UTIL: 24406810
12 15 16 17 18 31 #UTIL: 22209143
12 15 16 17 18 43 #UTIL: 25106458
12 15 16 17 21 25 #UTIL: 20459863
12 15 16 17 21 27 #UTIL: 21445702
12 15 16 17 21 28 #UTIL: 24458406
12 15 16 17 21 29 #UTIL: 20809442
12 15 16 17 21 31 #UTIL: 23636525
12 15 16 17 21 43 #UTIL: 25683819
12 15 16 17 24 28 #UTIL: 20680417
12 15 16 17 24 43 #UTIL: 21362150
12 15 16 17 25 28 #UTIL: 22064321
12 15 16 17 25 31 #UTIL: 20073267
12 15 16 17 25 43 #UTIL: 22452601
12 15 16 17 27 28 #UTIL: 20434476
12 15 16 17 27 43 #UTIL: 21304109
12 15 16 17 28 29 #UTIL: 21170542
12 15 16 17 28 31 #UTIL: 24660827
12 15 16 17 28 43 #UTIL: 26091384
12 15 16 17 29 43 #UTIL: 22002083
12 15 16 17 31 43 #UTIL: 25065544
12 15 16 17 38 43 #UTIL: 20540429
12 15 16 17 41 43 #UTIL: 20184700
12 15 16 17 43 59 #UTIL: 20539415
12 15 16 18 21 28 #UTIL: 22361262
12 15 16 18 21 31 #UTIL: 21109493
12 15 16 18 21 43 #UTIL: 23405191
12 15 16 18 25 28 #UTIL: 20169146
12 15 16 18 25 43 #UTIL: 20459460
12 15 16 18 28 31 #UTIL: 22368875
12 15 16 18 28 43 #UTIL: 24027799
12 15 16 18 31 43 #UTIL: 22639720
12 15 16 21 25 43 #UTIL: 20268951
12 15 16 21 27 28 #UTIL: 20378573
12 15 16 21 27 43 #UTIL: 21453582
12 15 16 21 28 31 #UTIL: 22657069
12 15 16 21 28 43 #UTIL: 23585598
12 15 16 21 29 43 #UTIL: 20750835
12 15 16 21 31 43 #UTIL: 23414006
12 15 16 24 28 43 #UTIL: 20409775
12 15 16 25 28 31 #UTIL: 20275332
12 15 16 25 28 43 #UTIL: 21725083
12 15 16 25 31 43 #UTIL: 20281441
12 15 16 27 28 43 #UTIL: 20074703
12 15 16 28 29 43 #UTIL: 20829300
12 15 16 28 31 43 #UTIL: 24147675
12 15 16 28 43 59 #UTIL: 20128504
12 15 17 18 21 43 #UTIL: 20452003
12 15 17 18 28 43 #UTIL: 21518836
12 15 17 21 28 31 #UTIL: 20101648
12 15 17 21 28 43 #UTIL: 21478937
12 15 17 21 31 43 #UTIL: 20533050
12 15 17 28 31 43 #UTIL: 21634637
12 16 17 18 21 24 #UTIL: 22060048
12 16 17 18 21 25 #UTIL: 22831446
12 16 17 18 21 27 #UTIL: 23417492
12 16 17 18 21 28 #UTIL: 27718796
12 16 17 18 21 29 #UTIL: 23002271
12 16 17 18 21 31 #UTIL: 26006558
12 16 17 18 21 38 #UTIL: 22259329
12 16 17 18 21 41 #UTIL: 20321995
12 16 17 18 21 43 #UTIL: 29114057
12 16 17 18 21 59 #UTIL: 20435384
12 16 17 18 24 28 #UTIL: 23377937
12 16 17 18 24 31 #UTIL: 20774705
12 16 17 18 24 43 #UTIL: 24143895
12 16 17 18 25 28 #UTIL: 25005301
12 16 17 18 25 31 #UTIL: 22027289
12 16 17 18 25 43 #UTIL: 25375649
12 16 17 18 27 28 #UTIL: 22589399
12 16 17 18 27 31 #UTIL: 20134595
12 16 17 18 27 43 #UTIL: 23542701
12 16 17 18 28 29 #UTIL: 23815613
12 16 17 18 28 31 #UTIL: 27552264
12 16 17 18 28 38 #UTIL: 22451353
12 16 17 18 28 41 #UTIL: 21899664
12 16 17 18 28 43 #UTIL: 29842206
12 16 17 18 28 59 #UTIL: 21836305
12 16 17 18 28 63 #UTIL: 20380813
12 16 17 18 29 31 #UTIL: 21058164
12 16 17 18 29 43 #UTIL: 24726678
12 16 17 18 31 38 #UTIL: 21378207
12 16 17 18 31 43 #UTIL: 27976641
12 16 17 18 38 43 #UTIL: 23465695
12 16 17 18 41 43 #UTIL: 22261597
12 16 17 18 43 59 #UTIL: 22532383
12 16 17 18 43 63 #UTIL: 21261343
12 16 17 21 24 28 #UTIL: 23355406
12 16 17 21 24 31 #UTIL: 22137992
12 16 17 21 24 43 #UTIL: 24657266
12 16 17 21 25 27 #UTIL: 20314778
12 16 17 21 25 28 #UTIL: 24237888
12 16 17 21 25 29 #UTIL: 20035758
12 16 17 21 25 31 #UTIL: 22622507
12 16 17 21 25 43 #UTIL: 25080156
12 16 17 21 27 28 #UTIL: 24997744
12 16 17 21 27 29 #UTIL: 20669459
12 16 17 21 27 31 #UTIL: 23551223
12 16 17 21 27 38 #UTIL: 20256062
12 16 17 21 27 43 #UTIL: 26438557
12 16 17 21 28 29 #UTIL: 24427126
12 16 17 21 28 31 #UTIL: 27878527
12 16 17 21 28 38 #UTIL: 22219215
12 16 17 21 28 41 #UTIL: 22274246
12 16 17 21 28 43 #UTIL: 29256687
12 16 17 21 28 59 #UTIL: 22347163
12 16 17 21 29 31 #UTIL: 23112718
12 16 17 21 29 43 #UTIL: 25895604
12 16 17 21 31 38 #UTIL: 22169576
12 16 17 21 31 41 #UTIL: 21026862
12 16 17 21 31 43 #UTIL: 28904544
12 16 17 21 31 59 #UTIL: 21239311
12 16 17 21 38 43 #UTIL: 23684769
12 16 17 21 41 43 #UTIL: 23137386
12 16 17 21 43 59 #UTIL: 23585761
12 16 17 21 43 63 #UTIL: 21278537
12 16 17 22 28 43 #UTIL: 21264716
12 16 17 24 25 28 #UTIL: 21493011
12 16 17 24 25 43 #UTIL: 21901338
12 16 17 24 27 43 #UTIL: 20000493
12 16 17 24 28 29 #UTIL: 20450356
12 16 17 24 28 31 #UTIL: 23597062
12 16 17 24 28 43 #UTIL: 25436400
12 16 17 24 29 43 #UTIL: 21330192
12 16 17 24 31 43 #UTIL: 24047445
12 16 17 25 27 43 #UTIL: 20514341
12 16 17 25 28 29 #UTIL: 21506462
12 16 17 25 28 31 #UTIL: 24929802
12 16 17 25 28 43 #UTIL: 26925631
12 16 17 25 28 59 #UTIL: 20125516
12 16 17 25 29 43 #UTIL: 22037449
12 16 17 25 31 43 #UTIL: 24959356
12 16 17 25 38 43 #UTIL: 20201543
12 16 17 25 43 59 #UTIL: 20329372
12 16 17 27 28 31 #UTIL: 22833248
12 16 17 27 28 43 #UTIL: 24586732
12 16 17 27 29 43 #UTIL: 20722440
12 16 17 27 31 43 #UTIL: 23520398
12 16 17 28 29 31 #UTIL: 24019881
12 16 17 28 29 43 #UTIL: 25976989
12 16 17 28 31 38 #UTIL: 22469447
12 16 17 28 31 41 #UTIL: 22414935
12 16 17 28 31 43 #UTIL: 29772369
12 16 17 28 31 59 #UTIL: 22380519
12 16 17 28 31 63 #UTIL: 20451440
12 16 17 28 38 43 #UTIL: 23479585
12 16 17 28 41 43 #UTIL: 24147567
12 16 17 28 43 59 #UTIL: 24409341
12 16 17 28 43 63 #UTIL: 21644956
12 16 17 29 31 43 #UTIL: 24610620
12 16 17 29 38 43 #UTIL: 20806253
12 16 17 29 43 59 #UTIL: 20073534
12 16 17 31 38 43 #UTIL: 23250852
12 16 17 31 41 43 #UTIL: 22775529
12 16 17 31 43 59 #UTIL: 23190664
12 16 17 31 43 63 #UTIL: 21000273
12 16 18 21 24 28 #UTIL: 21269004
12 16 18 21 24 43 #UTIL: 22371551
12 16 18 21 25 28 #UTIL: 22243702
12 16 18 21 25 31 #UTIL: 20325571
12 16 18 21 25 43 #UTIL: 22948632
12 16 18 21 27 28 #UTIL: 22674690
12 16 18 21 27 31 #UTIL: 20748254
12 16 18 21 27 43 #UTIL: 23879267
12 16 18 21 28 29 #UTIL: 22148764
12 16 18 21 28 31 #UTIL: 25398781
12 16 18 21 28 38 #UTIL: 20579766
12 16 18 21 28 41 #UTIL: 20197976
12 16 18 21 28 43 #UTIL: 27026111
12 16 18 21 28 59 #UTIL: 20358738
12 16 18 21 29 31 #UTIL: 20355678
12 16 18 21 29 43 #UTIL: 23383106
12 16 18 21 31 38 #UTIL: 20202801
12 16 18 21 31 43 #UTIL: 26231101
12 16 18 21 38 43 #UTIL: 21886328
12 16 18 21 41 43 #UTIL: 20890104
12 16 18 21 43 59 #UTIL: 21403176
12 16 18 24 28 31 #UTIL: 21304719
12 16 18 24 28 43 #UTIL: 23348998
12 16 18 24 31 43 #UTIL: 21606292
12 16 18 25 28 31 #UTIL: 22714990
12 16 18 25 28 43 #UTIL: 24877386
12 16 18 25 31 43 #UTIL: 22654707
12 16 18 27 28 31 #UTIL: 20511498
12 16 18 27 28 43 #UTIL: 22490086
12 16 18 27 31 43 #UTIL: 21012201
12 16 18 28 29 31 #UTIL: 21570664
12 16 18 28 29 43 #UTIL: 23757088
12 16 18 28 31 38 #UTIL: 20695682
12 16 18 28 31 41 #UTIL: 20129396
12 16 18 28 31 43 #UTIL: 27336831
12 16 18 28 31 59 #UTIL: 20208761
12 16 18 28 38 43 #UTIL: 21862979
12 16 18 28 41 43 #UTIL: 22084421
12 16 18 28 43 59 #UTIL: 22410960
12 16 18 29 31 43 #UTIL: 21982418
12 16 18 31 38 43 #UTIL: 21352200
12 16 18 31 41 43 #UTIL: 20340006
12 16 18 31 43 59 #UTIL: 20837694
12 16 21 24 27 43 #UTIL: 20212075
12 16 21 24 28 31 #UTIL: 21519639
12 16 21 24 28 43 #UTIL: 22833770
12 16 21 24 31 43 #UTIL: 22318726
12 16 21 25 27 43 #UTIL: 20501550
12 16 21 25 28 31 #UTIL: 22271869
12 16 21 25 28 43 #UTIL: 23642178
12 16 21 25 29 43 #UTIL: 20172697
12 16 21 25 31 43 #UTIL: 22646419
12 16 21 27 28 31 #UTIL: 22924092
12 16 21 27 28 43 #UTIL: 24437999
12 16 21 27 29 43 #UTIL: 21090340
12 16 21 27 31 43 #UTIL: 23839903
12 16 21 28 29 31 #UTIL: 22401704
12 16 21 28 29 43 #UTIL: 23826442
12 16 21 28 31 38 #UTIL: 20657697
12 16 21 28 31 41 #UTIL: 20737080
12 16 21 28 31 43 #UTIL: 27072778
12 16 21 28 31 59 #UTIL: 20907846
12 16 21 28 38 43 #UTIL: 21338204
12 16 21 28 41 43 #UTIL: 21951766
12 16 21 28 43 59 #UTIL: 22503585
12 16 21 29 31 43 #UTIL: 23322970
12 16 21 31 38 43 #UTIL: 21735475
12 16 21 31 41 43 #UTIL: 21428162
12 16 21 31 43 59 #UTIL: 22056381
12 16 24 25 28 43 #UTIL: 21412356
12 16 24 28 29 43 #UTIL: 20412430
12 16 24 28 31 43 #UTIL: 23458673
12 16 25 28 29 43 #UTIL: 21412959
